,Date,Close
0,"Feb 22, 2019",27.71
1,"Feb 21, 2019",28.35
2,"Feb 20, 2019",28.81
3,"Feb 19, 2019",28.47
4,"Feb 15, 2019",28.21
5,"Feb 14, 2019",27.37
6,"Feb 13, 2019",29.23
7,"Feb 12, 2019",28.87
8,"Feb 11, 2019",28.99
9,"Feb 08, 2019",28.97
10,"Feb 07, 2019",28.90
11,"Feb 06, 2019",29.61
12,"Feb 05, 2019",29.51
13,"Feb 04, 2019",29.55
14,"Feb 01, 2019",29.75
15,"Jan 31, 2019",29.44
16,"Jan 30, 2019",28.99
17,"Jan 29, 2019",28.36
18,"Jan 28, 2019",28.46
19,"Jan 25, 2019",28.70
20,"Jan 24, 2019",27.89
21,"Jan 23, 2019",27.81
22,"Jan 22, 2019",27.87
23,"Jan 18, 2019",28.56
24,"Jan 17, 2019",27.74
25,"Jan 16, 2019",27.48
26,"Jan 15, 2019",27.34
27,"Jan 14, 2019",27.40
28,"Jan 11, 2019",28.00
29,"Jan 10, 2019",28.00
