,Date,Close
0,"Feb 22, 2019",140.50
1,"Feb 21, 2019",140.03
2,"Feb 20, 2019",139.77
3,"Feb 19, 2019",139.71
4,"Feb 15, 2019",139.21
5,"Feb 14, 2019",138.80
6,"Feb 13, 2019",139.41
7,"Feb 12, 2019",143.14
8,"Feb 11, 2019",137.98
9,"Feb 08, 2019",135.78
10,"Feb 07, 2019",128.20
11,"Feb 06, 2019",127.43
12,"Feb 05, 2019",126.90
13,"Feb 04, 2019",127.88
14,"Feb 01, 2019",128.78
15,"Jan 31, 2019",128.79
16,"Jan 30, 2019",125.79
17,"Jan 29, 2019",127.04
18,"Jan 28, 2019",128.00
19,"Jan 25, 2019",127.56
20,"Jan 24, 2019",127.15
21,"Jan 23, 2019",124.73
22,"Jan 22, 2019",126.72
23,"Jan 18, 2019",126.62
24,"Jan 17, 2019",124.18
25,"Jan 16, 2019",123.10
26,"Jan 15, 2019",124.04
27,"Jan 14, 2019",126.01
28,"Jan 11, 2019",125.67
29,"Jan 10, 2019",126.59
