,Date,Close
0,"Feb 22, 2019",190.00
1,"Feb 21, 2019",190.38
2,"Feb 20, 2019",192.27
3,"Feb 19, 2019",189.01
4,"Feb 15, 2019",190.06
5,"Feb 14, 2019",187.49
6,"Feb 13, 2019",180.42
7,"Feb 12, 2019",184.56
8,"Feb 11, 2019",185.99
9,"Feb 08, 2019",184.34
10,"Feb 07, 2019",182.26
11,"Feb 06, 2019",182.10
12,"Feb 05, 2019",187.91
13,"Feb 04, 2019",185.96
14,"Feb 01, 2019",183.81
15,"Jan 31, 2019",176.68
16,"Jan 30, 2019",178.53
17,"Jan 29, 2019",180.28
18,"Jan 28, 2019",179.62
19,"Jan 25, 2019",175.70
20,"Jan 24, 2019",176.04
21,"Jan 23, 2019",174.87
22,"Jan 22, 2019",180.24
23,"Jan 18, 2019",180.47
24,"Jan 17, 2019",177.23
25,"Jan 16, 2019",174.69
26,"Jan 15, 2019",176.40
27,"Jan 14, 2019",179.21
28,"Jan 11, 2019",177.99
29,"Jan 10, 2019",179.53
