,Date,Close
0,"Feb 22, 2019",92.55
1,"Feb 21, 2019",92.09
2,"Feb 20, 2019",91.95
3,"Feb 19, 2019",91.53
4,"Feb 15, 2019",91.16
5,"Feb 14, 2019",90.15
6,"Feb 13, 2019",91.24
7,"Feb 12, 2019",90.91
8,"Feb 11, 2019",90.57
9,"Feb 08, 2019",89.92
10,"Feb 07, 2019",89.51
11,"Feb 06, 2019",90.45
12,"Feb 05, 2019",92.09
13,"Feb 04, 2019",91.87
14,"Feb 01, 2019",90.25
15,"Jan 31, 2019",88.19
16,"Jan 30, 2019",83.76
17,"Jan 29, 2019",82.62
18,"Jan 28, 2019",83.06
19,"Jan 25, 2019",83.52
20,"Jan 24, 2019",83.00
21,"Jan 23, 2019",83.31
22,"Jan 22, 2019",83.17
23,"Jan 18, 2019",84.06
24,"Jan 17, 2019",82.38
25,"Jan 16, 2019",82.00
26,"Jan 15, 2019",81.68
27,"Jan 14, 2019",81.49
28,"Jan 11, 2019",81.15
29,"Jan 10, 2019",81.46
