,Date,Close
0,"Feb 22, 2019",58.44
1,"Feb 21, 2019",58.88
2,"Feb 20, 2019",58.70
3,"Feb 19, 2019",58.23
4,"Feb 15, 2019",58.72
5,"Feb 14, 2019",58.63
6,"Feb 13, 2019",59.31
7,"Feb 12, 2019",58.89
8,"Feb 11, 2019",58.00
9,"Feb 08, 2019",57.89
10,"Feb 07, 2019",57.43
11,"Feb 06, 2019",57.36
12,"Feb 05, 2019",57.61
13,"Feb 04, 2019",58.18
14,"Feb 01, 2019",57.95
15,"Jan 31, 2019",57.24
16,"Jan 30, 2019",56.22
17,"Jan 29, 2019",55.48
18,"Jan 28, 2019",55.56
19,"Jan 25, 2019",55.85
20,"Jan 24, 2019",55.36
21,"Jan 23, 2019",55.18
22,"Jan 22, 2019",55.48
23,"Jan 18, 2019",55.58
24,"Jan 17, 2019",54.27
25,"Jan 16, 2019",53.81
26,"Jan 15, 2019",54.76
27,"Jan 14, 2019",54.15
28,"Jan 11, 2019",54.37
29,"Jan 10, 2019",53.26
