,Date,Close
0,"Jan 18, 2019",48.31
1,"Jan 17, 2019",47.06
2,"Jan 16, 2019",47.20
3,"Jan 15, 2019",47.91
4,"Jan 14, 2019",48.26
5,"Jan 11, 2019",48.90
6,"Jan 10, 2019",48.86
7,"Jan 09, 2019",49.66
8,"Jan 08, 2019",49.06
9,"Jan 07, 2019",48.78
10,"Jan 04, 2019",50.30
11,"Jan 03, 2019",49.04
12,"Jan 02, 2019",49.31
13,"Dec 31, 2018",49.39
14,"Dec 28, 2018",48.89
15,"Dec 27, 2018",48.70
16,"Dec 26, 2018",48.43
17,"Dec 24, 2018",47.56
18,"Dec 21, 2018",49.09
19,"Dec 20, 2018",50.44
20,"Dec 19, 2018",51.40
21,"Dec 18, 2018",50.89
22,"Dec 17, 2018",52.35
23,"Dec 14, 2018",52.73
24,"Dec 13, 2018",53.92
25,"Dec 12, 2018",53.33
26,"Dec 11, 2018",53.95
27,"Dec 10, 2018",53.36
28,"Dec 07, 2018",54.18
29,"Dec 06, 2018",54.40
