,Date,Close
0,"Feb 22, 2019",32.30
1,"Feb 21, 2019",33.17
2,"Feb 20, 2019",33.48
3,"Feb 19, 2019",32.28
4,"Feb 15, 2019",32.11
5,"Feb 14, 2019",31.94
6,"Feb 13, 2019",32.06
7,"Feb 12, 2019",31.89
8,"Feb 11, 2019",30.92
9,"Feb 08, 2019",31.19
10,"Feb 07, 2019",31.40
11,"Feb 06, 2019",32.46
12,"Feb 05, 2019",32.20
13,"Feb 04, 2019",31.95
14,"Feb 01, 2019",32.60
15,"Jan 31, 2019",32.28
16,"Jan 30, 2019",31.91
17,"Jan 29, 2019",31.78
18,"Jan 28, 2019",31.59
19,"Jan 25, 2019",31.89
20,"Jan 24, 2019",31.01
21,"Jan 23, 2019",31.16
22,"Jan 22, 2019",30.97
23,"Jan 18, 2019",32.20
24,"Jan 17, 2019",31.96
25,"Jan 16, 2019",31.49
26,"Jan 15, 2019",31.40
27,"Jan 14, 2019",31.38
28,"Jan 11, 2019",31.64
29,"Jan 10, 2019",31.57
