,Date,Close
0,"Feb 22, 2019",80.77
1,"Feb 21, 2019",79.83
2,"Feb 20, 2019",79.43
3,"Feb 19, 2019",79.24
4,"Feb 15, 2019",79.81
5,"Feb 14, 2019",78.94
6,"Feb 13, 2019",79.02
7,"Feb 12, 2019",78.52
8,"Feb 11, 2019",76.71
9,"Feb 08, 2019",77.52
10,"Feb 07, 2019",76.82
11,"Feb 06, 2019",77.39
12,"Feb 05, 2019",77.15
13,"Feb 04, 2019",76.87
14,"Feb 01, 2019",76.45
15,"Jan 31, 2019",74.43
16,"Jan 30, 2019",73.37
17,"Jan 29, 2019",73.23
18,"Jan 28, 2019",72.92
19,"Jan 25, 2019",72.95
20,"Jan 24, 2019",73.17
21,"Jan 23, 2019",75.44
22,"Jan 22, 2019",75.83
23,"Jan 18, 2019",75.87
24,"Jan 17, 2019",75.60
25,"Jan 16, 2019",74.61
26,"Jan 15, 2019",74.50
27,"Jan 14, 2019",73.37
28,"Jan 11, 2019",74.90
29,"Jan 10, 2019",74.48
