,Date,Close
0,"Feb 22, 2019",41.79
1,"Feb 21, 2019",41.96
2,"Feb 20, 2019",42.42
3,"Feb 19, 2019",42.16
4,"Feb 15, 2019",41.99
5,"Feb 14, 2019",40.72
6,"Feb 13, 2019",41.19
7,"Feb 12, 2019",41.15
8,"Feb 11, 2019",40.21
9,"Feb 08, 2019",40.81
10,"Feb 07, 2019",41.48
11,"Feb 06, 2019",42.38
12,"Feb 05, 2019",42.45
13,"Feb 04, 2019",42.46
14,"Feb 01, 2019",41.82
15,"Jan 31, 2019",42.30
16,"Jan 30, 2019",42.79
17,"Jan 29, 2019",42.49
18,"Jan 28, 2019",42.65
19,"Jan 25, 2019",42.98
20,"Jan 24, 2019",42.05
21,"Jan 23, 2019",42.15
22,"Jan 22, 2019",42.41
23,"Jan 18, 2019",43.69
24,"Jan 17, 2019",42.53
25,"Jan 16, 2019",44.49
26,"Jan 15, 2019",42.88
27,"Jan 14, 2019",42.48
28,"Jan 11, 2019",41.74
29,"Jan 10, 2019",41.66
