,Date,Close
0,"Feb 22, 2019",172.47
1,"Feb 21, 2019",173.08
2,"Feb 20, 2019",176.00
3,"Feb 19, 2019",173.48
4,"Feb 15, 2019",172.27
5,"Feb 14, 2019",169.14
6,"Feb 13, 2019",170.62
7,"Feb 12, 2019",170.00
8,"Feb 11, 2019",168.35
9,"Feb 08, 2019",165.40
10,"Feb 07, 2019",166.69
11,"Feb 06, 2019",161.66
12,"Feb 05, 2019",162.41
13,"Feb 04, 2019",163.81
14,"Feb 01, 2019",164.00
15,"Jan 31, 2019",164.54
16,"Jan 30, 2019",166.18
17,"Jan 29, 2019",168.00
18,"Jan 28, 2019",167.67
19,"Jan 25, 2019",168.31
20,"Jan 24, 2019",168.42
21,"Jan 23, 2019",167.55
22,"Jan 22, 2019",166.68
23,"Jan 18, 2019",165.59
24,"Jan 17, 2019",163.21
25,"Jan 16, 2019",154.42
26,"Jan 15, 2019",151.45
27,"Jan 14, 2019",151.04
28,"Jan 11, 2019",150.81
29,"Jan 10, 2019",150.44
