,Date,Close
0,"Feb 22, 2019",36.48
1,"Feb 21, 2019",35.41
2,"Feb 20, 2019",35.39
3,"Feb 19, 2019",34.53
4,"Feb 15, 2019",33.24
5,"Feb 14, 2019",33.11
6,"Feb 13, 2019",33.23
7,"Feb 12, 2019",33.39
8,"Feb 11, 2019",33.65
9,"Feb 08, 2019",33.84
10,"Feb 07, 2019",33.73
11,"Feb 06, 2019",33.98
12,"Feb 05, 2019",34.12
13,"Feb 04, 2019",34.16
14,"Feb 01, 2019",33.84
15,"Jan 31, 2019",34.11
16,"Jan 30, 2019",33.71
17,"Jan 29, 2019",33.54
18,"Jan 28, 2019",32.91
19,"Jan 25, 2019",33.16
20,"Jan 24, 2019",32.18
21,"Jan 23, 2019",32.20
22,"Jan 22, 2019",32.10
23,"Jan 18, 2019",31.77
24,"Jan 17, 2019",31.62
25,"Jan 16, 2019",31.56
26,"Jan 15, 2019",31.02
27,"Jan 14, 2019",31.78
28,"Jan 11, 2019",34.88
29,"Jan 10, 2019",34.82
