,Date,Close
0,"Feb 22, 2019",28.48
1,"Feb 21, 2019",28.76
2,"Feb 20, 2019",29.81
3,"Feb 19, 2019",29.23
4,"Feb 15, 2019",29.81
5,"Feb 14, 2019",29.03
6,"Feb 13, 2019",29.51
7,"Feb 12, 2019",28.81
8,"Feb 11, 2019",28.83
9,"Feb 08, 2019",28.35
10,"Feb 07, 2019",28.64
11,"Feb 06, 2019",30.58
12,"Feb 05, 2019",30.20
13,"Feb 04, 2019",30.15
14,"Feb 01, 2019",29.91
15,"Jan 31, 2019",29.48
16,"Jan 30, 2019",29.89
17,"Jan 29, 2019",29.78
18,"Jan 28, 2019",29.95
19,"Jan 25, 2019",30.44
20,"Jan 24, 2019",29.38
21,"Jan 23, 2019",28.74
22,"Jan 22, 2019",29.54
23,"Jan 18, 2019",30.45
24,"Jan 17, 2019",29.79
25,"Jan 16, 2019",29.36
26,"Jan 15, 2019",29.31
27,"Jan 14, 2019",29.25
28,"Jan 11, 2019",29.11
29,"Jan 10, 2019",28.76
