,Date,Close
0,"Feb 22, 2019",42.22
1,"Feb 21, 2019",42.46
2,"Feb 20, 2019",42.06
3,"Feb 19, 2019",42.45
4,"Feb 15, 2019",42.46
5,"Feb 14, 2019",42.61
6,"Feb 13, 2019",42.55
7,"Feb 12, 2019",42.41
8,"Feb 11, 2019",42.25
9,"Feb 08, 2019",41.83
10,"Feb 07, 2019",41.57
11,"Feb 06, 2019",40.86
12,"Feb 05, 2019",40.69
13,"Feb 04, 2019",41.04
14,"Feb 01, 2019",40.80
15,"Jan 31, 2019",40.91
16,"Jan 30, 2019",40.18
17,"Jan 29, 2019",39.93
18,"Jan 28, 2019",40.14
19,"Jan 25, 2019",40.93
20,"Jan 24, 2019",41.73
21,"Jan 23, 2019",41.34
22,"Jan 22, 2019",40.50
23,"Jan 18, 2019",40.34
24,"Jan 17, 2019",41.06
25,"Jan 16, 2019",40.69
26,"Jan 15, 2019",40.44
27,"Jan 14, 2019",39.67
28,"Jan 11, 2019",40.30
29,"Jan 10, 2019",40.41
