,Date,Close
0,"Feb 22, 2019",183.30
1,"Feb 21, 2019",182.94
2,"Feb 20, 2019",183.49
3,"Feb 19, 2019",182.76
4,"Feb 15, 2019",182.87
5,"Feb 14, 2019",181.73
6,"Feb 13, 2019",180.95
7,"Feb 12, 2019",180.61
8,"Feb 11, 2019",176.95
9,"Feb 08, 2019",171.46
10,"Feb 07, 2019",170.47
11,"Feb 06, 2019",168.98
12,"Feb 05, 2019",168.88
13,"Feb 04, 2019",169.95
14,"Feb 01, 2019",169.53
15,"Jan 31, 2019",167.74
16,"Jan 30, 2019",168.38
17,"Jan 29, 2019",166.93
18,"Jan 28, 2019",165.79
19,"Jan 25, 2019",165.12
20,"Jan 24, 2019",165.94
21,"Jan 23, 2019",164.21
22,"Jan 22, 2019",165.34
23,"Jan 18, 2019",169.05
24,"Jan 17, 2019",165.08
25,"Jan 16, 2019",162.81
26,"Jan 15, 2019",162.49
27,"Jan 14, 2019",163.72
28,"Jan 11, 2019",163.58
29,"Jan 10, 2019",161.41
