,Date,Close
0,"Feb 22, 2019",66.02
1,"Feb 21, 2019",65.44
2,"Feb 20, 2019",65.27
3,"Feb 19, 2019",64.25
4,"Feb 15, 2019",64.03
5,"Feb 14, 2019",63.66
6,"Feb 13, 2019",67.35
7,"Feb 12, 2019",67.14
8,"Feb 11, 2019",65.93
9,"Feb 08, 2019",66.00
10,"Feb 07, 2019",66.99
11,"Feb 06, 2019",68.16
12,"Feb 05, 2019",67.65
13,"Feb 04, 2019",67.13
14,"Feb 01, 2019",65.80
15,"Jan 31, 2019",63.77
16,"Jan 30, 2019",63.38
17,"Jan 29, 2019",62.59
18,"Jan 28, 2019",63.21
19,"Jan 25, 2019",63.73
20,"Jan 24, 2019",61.97
21,"Jan 23, 2019",61.12
22,"Jan 22, 2019",61.47
23,"Jan 18, 2019",62.98
24,"Jan 17, 2019",61.92
25,"Jan 16, 2019",62.10
26,"Jan 15, 2019",62.46
27,"Jan 14, 2019",61.23
28,"Jan 11, 2019",61.65
29,"Jan 10, 2019",61.46
