,Date,Close
0,"Feb 22, 2019",92.64
1,"Feb 21, 2019",92.69
2,"Feb 20, 2019",93.47
3,"Feb 19, 2019",93.00
4,"Feb 15, 2019",93.09
5,"Feb 14, 2019",91.28
6,"Feb 13, 2019",91.96
7,"Feb 12, 2019",92.05
8,"Feb 11, 2019",89.63
9,"Feb 08, 2019",89.64
10,"Feb 07, 2019",89.83
11,"Feb 06, 2019",90.38
12,"Feb 05, 2019",89.81
13,"Feb 04, 2019",89.13
14,"Feb 01, 2019",88.53
15,"Jan 31, 2019",88.46
16,"Jan 30, 2019",89.43
17,"Jan 29, 2019",89.64
18,"Jan 28, 2019",90.85
19,"Jan 25, 2019",91.13
20,"Jan 24, 2019",89.37
21,"Jan 23, 2019",89.93
22,"Jan 22, 2019",90.53
23,"Jan 18, 2019",91.16
24,"Jan 17, 2019",89.18
25,"Jan 16, 2019",88.42
26,"Jan 15, 2019",86.95
27,"Jan 14, 2019",86.06
28,"Jan 11, 2019",85.65
29,"Jan 10, 2019",84.89
