,Date,Close
0,"Feb 22, 2019",159.19
1,"Feb 21, 2019",155.77
2,"Feb 20, 2019",158.55
3,"Feb 19, 2019",156.64
4,"Feb 15, 2019",157.34
5,"Feb 14, 2019",154.53
6,"Feb 13, 2019",152.88
7,"Feb 12, 2019",151.17
8,"Feb 11, 2019",146.45
9,"Feb 08, 2019",148.17
10,"Feb 07, 2019",147.42
11,"Feb 06, 2019",153.00
12,"Feb 05, 2019",149.95
13,"Feb 04, 2019",149.18
14,"Feb 01, 2019",144.73
15,"Jan 31, 2019",143.75
16,"Jan 30, 2019",137.39
17,"Jan 29, 2019",131.60
18,"Jan 28, 2019",138.01
19,"Jan 25, 2019",160.15
20,"Jan 24, 2019",157.84
21,"Jan 23, 2019",149.29
22,"Jan 22, 2019",148.77
23,"Jan 18, 2019",156.93
24,"Jan 17, 2019",151.72
25,"Jan 16, 2019",148.84
26,"Jan 15, 2019",149.87
27,"Jan 14, 2019",150.44
28,"Jan 11, 2019",148.83
29,"Jan 10, 2019",145.23
