,Date,Close
0,"Feb 22, 2019",75.63
1,"Feb 21, 2019",74.91
2,"Feb 20, 2019",75.05
3,"Feb 19, 2019",74.97
4,"Feb 15, 2019",75.00
5,"Feb 14, 2019",74.28
6,"Feb 13, 2019",73.49
7,"Feb 12, 2019",74.09
8,"Feb 11, 2019",73.88
9,"Feb 08, 2019",74.70
10,"Feb 07, 2019",74.58
11,"Feb 06, 2019",74.46
12,"Feb 05, 2019",78.36
13,"Feb 04, 2019",77.84
14,"Feb 01, 2019",77.60
15,"Jan 31, 2019",77.88
16,"Jan 30, 2019",77.42
17,"Jan 29, 2019",77.49
18,"Jan 28, 2019",76.35
19,"Jan 25, 2019",76.40
20,"Jan 24, 2019",76.69
21,"Jan 23, 2019",75.26
22,"Jan 22, 2019",74.45
23,"Jan 18, 2019",76.00
24,"Jan 17, 2019",74.35
25,"Jan 16, 2019",74.67
26,"Jan 15, 2019",76.11
27,"Jan 14, 2019",75.79
28,"Jan 11, 2019",76.51
29,"Jan 10, 2019",75.95
