,Date,Close
0,"Feb 22, 2019",52.48
1,"Feb 21, 2019",52.11
2,"Feb 20, 2019",51.77
3,"Feb 19, 2019",52.02
4,"Feb 15, 2019",51.72
5,"Feb 14, 2019",51.48
6,"Feb 13, 2019",51.42
7,"Feb 12, 2019",51.22
8,"Feb 11, 2019",51.23
9,"Feb 08, 2019",51.03
10,"Feb 07, 2019",50.22
11,"Feb 06, 2019",51.26
12,"Feb 05, 2019",51.24
13,"Feb 04, 2019",51.03
14,"Feb 01, 2019",50.81
15,"Jan 31, 2019",50.23
16,"Jan 30, 2019",50.36
17,"Jan 29, 2019",49.61
18,"Jan 28, 2019",49.52
19,"Jan 25, 2019",49.80
20,"Jan 24, 2019",49.20
21,"Jan 23, 2019",49.24
22,"Jan 22, 2019",48.94
23,"Jan 18, 2019",49.27
24,"Jan 17, 2019",48.58
25,"Jan 16, 2019",48.06
26,"Jan 15, 2019",48.38
27,"Jan 14, 2019",48.18
28,"Jan 11, 2019",48.29
29,"Jan 10, 2019",47.82
