,Date,Close
0,"Feb 22, 2019",65.93
1,"Feb 21, 2019",66.60
2,"Feb 20, 2019",68.25
3,"Feb 19, 2019",67.63
4,"Feb 15, 2019",67.19
5,"Feb 14, 2019",66.57
6,"Feb 13, 2019",65.85
7,"Feb 12, 2019",65.75
8,"Feb 11, 2019",64.84
9,"Feb 08, 2019",64.96
10,"Feb 07, 2019",64.92
11,"Feb 06, 2019",66.63
12,"Feb 05, 2019",67.30
13,"Feb 04, 2019",67.74
14,"Feb 01, 2019",68.04
15,"Jan 31, 2019",66.78
16,"Jan 30, 2019",66.97
17,"Jan 29, 2019",66.48
18,"Jan 28, 2019",66.08
19,"Jan 25, 2019",66.53
20,"Jan 24, 2019",64.98
21,"Jan 23, 2019",64.57
22,"Jan 22, 2019",65.12
23,"Jan 18, 2019",67.03
24,"Jan 17, 2019",65.83
25,"Jan 16, 2019",65.14
26,"Jan 15, 2019",65.52
27,"Jan 14, 2019",65.58
28,"Jan 11, 2019",66.22
29,"Jan 10, 2019",66.19
