,Date,Close
0,"Feb 22, 2019",42.96
1,"Feb 21, 2019",42.14
2,"Feb 20, 2019",42.20
3,"Feb 19, 2019",42.60
4,"Feb 15, 2019",42.40
5,"Feb 14, 2019",41.97
6,"Feb 13, 2019",41.70
7,"Feb 12, 2019",41.87
8,"Feb 11, 2019",41.68
9,"Feb 08, 2019",42.23
10,"Feb 07, 2019",41.70
11,"Feb 06, 2019",42.33
12,"Feb 05, 2019",42.11
13,"Feb 04, 2019",42.44
14,"Feb 01, 2019",42.88
15,"Jan 31, 2019",42.45
16,"Jan 30, 2019",41.58
17,"Jan 29, 2019",40.77
18,"Jan 28, 2019",39.53
19,"Jan 25, 2019",40.64
20,"Jan 24, 2019",40.95
21,"Jan 23, 2019",42.16
22,"Jan 22, 2019",42.27
23,"Jan 18, 2019",42.53
24,"Jan 17, 2019",42.47
25,"Jan 16, 2019",42.11
26,"Jan 15, 2019",42.73
27,"Jan 14, 2019",42.37
28,"Jan 11, 2019",42.88
29,"Jan 10, 2019",42.31
