,Date,Close
0,"Feb 22, 2019",27.98
1,"Feb 21, 2019",27.60
2,"Feb 20, 2019",27.14
3,"Feb 19, 2019",27.04
4,"Feb 15, 2019",27.12
5,"Feb 14, 2019",26.91
6,"Feb 13, 2019",27.19
7,"Feb 12, 2019",27.31
8,"Feb 11, 2019",26.50
9,"Feb 08, 2019",26.61
10,"Feb 07, 2019",26.89
11,"Feb 06, 2019",26.47
12,"Feb 05, 2019",27.35
13,"Feb 04, 2019",26.79
14,"Feb 01, 2019",27.35
15,"Jan 31, 2019",27.81
16,"Jan 30, 2019",27.24
17,"Jan 29, 2019",27.25
18,"Jan 28, 2019",27.03
19,"Jan 25, 2019",26.96
20,"Jan 24, 2019",26.70
21,"Jan 23, 2019",26.71
22,"Jan 22, 2019",26.33
23,"Jan 18, 2019",26.59
24,"Jan 17, 2019",26.85
25,"Jan 16, 2019",27.37
26,"Jan 15, 2019",28.07
27,"Jan 14, 2019",27.86
28,"Jan 11, 2019",28.58
29,"Jan 10, 2019",28.61
