,Date,Close
0,"Feb 22, 2019",93.58
1,"Feb 21, 2019",93.19
2,"Feb 20, 2019",93.51
3,"Feb 19, 2019",93.87
4,"Feb 15, 2019",93.99
5,"Feb 14, 2019",93.35
6,"Feb 13, 2019",93.77
7,"Feb 12, 2019",93.57
8,"Feb 11, 2019",92.05
9,"Feb 08, 2019",91.83
10,"Feb 07, 2019",91.61
11,"Feb 06, 2019",93.59
12,"Feb 05, 2019",92.84
13,"Feb 04, 2019",91.27
14,"Feb 01, 2019",90.86
15,"Jan 31, 2019",90.50
16,"Jan 30, 2019",90.27
17,"Jan 29, 2019",87.70
18,"Jan 28, 2019",86.74
19,"Jan 25, 2019",86.49
20,"Jan 24, 2019",85.14
21,"Jan 23, 2019",84.90
22,"Jan 22, 2019",84.57
23,"Jan 18, 2019",86.40
24,"Jan 17, 2019",84.33
25,"Jan 16, 2019",83.08
26,"Jan 15, 2019",82.36
27,"Jan 14, 2019",81.72
28,"Jan 11, 2019",83.51
29,"Jan 10, 2019",82.56
