,Date,Close
0,"Feb 22, 2019",87.15
1,"Feb 21, 2019",85.58
2,"Feb 20, 2019",85.04
3,"Feb 19, 2019",83.39
4,"Feb 15, 2019",83.46
5,"Feb 14, 2019",81.85
6,"Feb 13, 2019",81.30
7,"Feb 12, 2019",80.60
8,"Feb 11, 2019",79.05
9,"Feb 08, 2019",79.98
10,"Feb 07, 2019",76.73
11,"Feb 06, 2019",75.51
12,"Feb 05, 2019",75.81
13,"Feb 04, 2019",76.05
14,"Feb 01, 2019",75.73
15,"Jan 31, 2019",76.72
16,"Jan 30, 2019",74.48
17,"Jan 29, 2019",74.41
18,"Jan 28, 2019",74.35
19,"Jan 25, 2019",72.73
20,"Jan 24, 2019",71.55
21,"Jan 23, 2019",74.00
22,"Jan 22, 2019",72.81
23,"Jan 18, 2019",73.79
24,"Jan 17, 2019",72.52
25,"Jan 16, 2019",70.75
26,"Jan 15, 2019",70.50
27,"Jan 14, 2019",69.62
28,"Jan 11, 2019",69.50
29,"Jan 10, 2019",68.15
