,Date,Close
0,"Feb 22, 2019",43.05
1,"Feb 21, 2019",42.54
2,"Feb 20, 2019",42.79
3,"Feb 19, 2019",42.48
4,"Feb 15, 2019",42.72
5,"Feb 14, 2019",41.83
6,"Feb 13, 2019",42.23
7,"Feb 12, 2019",41.80
8,"Feb 11, 2019",41.09
9,"Feb 08, 2019",41.00
10,"Feb 07, 2019",40.94
11,"Feb 06, 2019",41.50
12,"Feb 05, 2019",41.47
13,"Feb 04, 2019",41.19
14,"Feb 01, 2019",41.00
15,"Jan 31, 2019",41.19
16,"Jan 30, 2019",41.19
17,"Jan 29, 2019",40.98
18,"Jan 28, 2019",40.54
19,"Jan 25, 2019",41.06
20,"Jan 24, 2019",40.46
21,"Jan 23, 2019",40.24
22,"Jan 22, 2019",40.16
23,"Jan 18, 2019",41.17
24,"Jan 17, 2019",40.36
25,"Jan 16, 2019",40.17
26,"Jan 15, 2019",40.27
27,"Jan 14, 2019",40.38
28,"Jan 11, 2019",40.45
29,"Jan 10, 2019",40.47
