,Date,Close
0,"Feb 22, 2019",93.22
1,"Feb 21, 2019",91.97
2,"Feb 20, 2019",90.93
3,"Feb 19, 2019",90.65
4,"Feb 15, 2019",89.96
5,"Feb 14, 2019",89.54
6,"Feb 13, 2019",89.51
7,"Feb 12, 2019",89.77
8,"Feb 11, 2019",89.63
9,"Feb 08, 2019",89.38
10,"Feb 07, 2019",89.18
11,"Feb 06, 2019",87.69
12,"Feb 05, 2019",87.57
13,"Feb 04, 2019",87.53
14,"Feb 01, 2019",87.65
15,"Jan 31, 2019",88.12
16,"Jan 30, 2019",87.62
17,"Jan 29, 2019",87.36
18,"Jan 28, 2019",86.76
19,"Jan 25, 2019",86.94
20,"Jan 24, 2019",87.98
21,"Jan 23, 2019",87.19
22,"Jan 22, 2019",85.73
23,"Jan 18, 2019",85.67
24,"Jan 17, 2019",85.55
25,"Jan 16, 2019",84.77
26,"Jan 15, 2019",84.21
27,"Jan 14, 2019",82.47
28,"Jan 11, 2019",84.77
29,"Jan 10, 2019",86.07
