,Date,Close
0,"Feb 22, 2019",95.01
1,"Feb 21, 2019",94.49
2,"Feb 20, 2019",95.02
3,"Feb 19, 2019",93.95
4,"Feb 15, 2019",94.15
5,"Feb 14, 2019",91.68
6,"Feb 13, 2019",93.87
7,"Feb 12, 2019",93.36
8,"Feb 11, 2019",91.50
9,"Feb 08, 2019",90.99
10,"Feb 07, 2019",91.28
11,"Feb 06, 2019",93.41
12,"Feb 05, 2019",92.99
13,"Feb 04, 2019",93.19
14,"Feb 01, 2019",92.96
15,"Jan 31, 2019",92.14
16,"Jan 30, 2019",91.32
17,"Jan 29, 2019",91.08
18,"Jan 28, 2019",92.59
19,"Jan 25, 2019",92.91
20,"Jan 24, 2019",91.38
21,"Jan 23, 2019",90.64
22,"Jan 22, 2019",90.77
23,"Jan 18, 2019",92.26
24,"Jan 17, 2019",91.17
25,"Jan 16, 2019",90.48
26,"Jan 15, 2019",88.98
27,"Jan 14, 2019",88.53
28,"Jan 11, 2019",87.74
29,"Jan 10, 2019",87.31
