,Date,Close
0,"Feb 22, 2019",97.36
1,"Feb 21, 2019",96.81
2,"Feb 20, 2019",97.45
3,"Feb 19, 2019",96.75
4,"Feb 15, 2019",95.99
5,"Feb 14, 2019",95.65
6,"Feb 13, 2019",96.12
7,"Feb 12, 2019",94.00
8,"Feb 11, 2019",94.23
9,"Feb 08, 2019",93.52
10,"Feb 07, 2019",91.74
11,"Feb 06, 2019",94.42
12,"Feb 05, 2019",95.17
13,"Feb 04, 2019",94.76
14,"Feb 01, 2019",94.21
15,"Jan 31, 2019",95.41
16,"Jan 30, 2019",94.53
17,"Jan 29, 2019",93.35
18,"Jan 28, 2019",92.50
19,"Jan 25, 2019",93.02
20,"Jan 24, 2019",91.33
21,"Jan 23, 2019",92.63
22,"Jan 22, 2019",93.00
23,"Jan 18, 2019",95.30
24,"Jan 17, 2019",93.42
25,"Jan 16, 2019",92.99
26,"Jan 15, 2019",92.45
27,"Jan 14, 2019",92.83
28,"Jan 11, 2019",92.69
29,"Jan 10, 2019",92.94
