,Date,Close
0,"Feb 22, 2019",142.13
1,"Feb 21, 2019",136.15
2,"Feb 20, 2019",141.28
3,"Feb 19, 2019",145.56
4,"Feb 15, 2019",145.35
5,"Feb 14, 2019",143.08
6,"Feb 13, 2019",145.95
7,"Feb 12, 2019",141.39
8,"Feb 11, 2019",137.65
9,"Feb 08, 2019",135.71
10,"Feb 07, 2019",136.79
11,"Feb 06, 2019",141.79
12,"Feb 05, 2019",143.59
13,"Feb 04, 2019",144.57
14,"Feb 01, 2019",143.01
15,"Jan 31, 2019",142.32
16,"Jan 30, 2019",141.51
17,"Jan 29, 2019",140.20
18,"Jan 28, 2019",139.71
19,"Jan 25, 2019",140.23
20,"Jan 24, 2019",138.31
21,"Jan 23, 2019",137.42
22,"Jan 22, 2019",139.98
23,"Jan 18, 2019",144.90
24,"Jan 17, 2019",143.27
25,"Jan 16, 2019",143.54
26,"Jan 15, 2019",143.03
27,"Jan 14, 2019",142.89
28,"Jan 11, 2019",142.24
29,"Jan 10, 2019",145.24
