,Date,Close
0,"Feb 22, 2019",53.12
1,"Feb 21, 2019",52.35
2,"Feb 20, 2019",52.45
3,"Feb 19, 2019",52.01
4,"Feb 15, 2019",51.98
5,"Feb 14, 2019",51.57
6,"Feb 13, 2019",51.59
7,"Feb 12, 2019",51.66
8,"Feb 11, 2019",50.83
9,"Feb 08, 2019",50.29
10,"Feb 07, 2019",50.55
11,"Feb 06, 2019",51.10
12,"Feb 05, 2019",50.73
13,"Feb 04, 2019",49.69
14,"Feb 01, 2019",49.61
15,"Jan 31, 2019",49.52
16,"Jan 30, 2019",50.17
17,"Jan 29, 2019",49.40
18,"Jan 28, 2019",50.64
19,"Jan 25, 2019",51.30
20,"Jan 24, 2019",50.81
21,"Jan 23, 2019",51.77
22,"Jan 22, 2019",54.29
23,"Jan 18, 2019",55.27
24,"Jan 17, 2019",54.77
25,"Jan 16, 2019",55.27
26,"Jan 15, 2019",55.73
27,"Jan 14, 2019",57.30
28,"Jan 11, 2019",57.50
29,"Jan 10, 2019",56.80
