,Date,Close
0,"Feb 22, 2019",67.80
1,"Feb 21, 2019",66.06
2,"Feb 20, 2019",65.86
3,"Feb 19, 2019",64.87
4,"Feb 15, 2019",65.16
5,"Feb 14, 2019",64.67
6,"Feb 13, 2019",64.90
7,"Feb 12, 2019",65.18
8,"Feb 11, 2019",64.50
9,"Feb 08, 2019",64.51
10,"Feb 07, 2019",66.53
11,"Feb 06, 2019",68.63
12,"Feb 05, 2019",66.04
13,"Feb 04, 2019",65.96
14,"Feb 01, 2019",65.92
15,"Jan 31, 2019",65.36
16,"Jan 30, 2019",65.53
17,"Jan 29, 2019",63.66
18,"Jan 28, 2019",65.09
19,"Jan 25, 2019",65.76
20,"Jan 24, 2019",63.38
21,"Jan 23, 2019",61.91
22,"Jan 22, 2019",61.94
23,"Jan 18, 2019",63.28
24,"Jan 17, 2019",62.25
25,"Jan 16, 2019",61.41
26,"Jan 15, 2019",61.56
27,"Jan 14, 2019",61.18
28,"Jan 11, 2019",63.69
29,"Jan 10, 2019",61.86
