,Date,Close
0,"Feb 22, 2019",65.88
1,"Feb 21, 2019",66.37
2,"Feb 20, 2019",65.83
3,"Feb 19, 2019",66.57
4,"Feb 15, 2019",66.32
5,"Feb 14, 2019",65.76
6,"Feb 13, 2019",65.48
7,"Feb 12, 2019",65.33
8,"Feb 11, 2019",66.27
9,"Feb 08, 2019",65.72
10,"Feb 07, 2019",65.73
11,"Feb 06, 2019",64.49
12,"Feb 05, 2019",64.77
13,"Feb 04, 2019",64.84
14,"Feb 01, 2019",64.45
15,"Jan 31, 2019",65.00
16,"Jan 30, 2019",64.96
17,"Jan 29, 2019",63.91
18,"Jan 28, 2019",63.50
19,"Jan 25, 2019",62.75
20,"Jan 24, 2019",61.44
21,"Jan 23, 2019",61.46
22,"Jan 22, 2019",61.55
23,"Jan 18, 2019",61.69
24,"Jan 17, 2019",61.45
25,"Jan 16, 2019",61.17
26,"Jan 15, 2019",60.60
27,"Jan 14, 2019",59.83
28,"Jan 11, 2019",59.79
29,"Jan 10, 2019",59.56
