,Date,Close
0,"Feb 22, 2019",68.26
1,"Feb 21, 2019",67.39
2,"Feb 20, 2019",67.73
3,"Feb 19, 2019",67.45
4,"Feb 15, 2019",66.98
5,"Feb 14, 2019",66.28
6,"Feb 13, 2019",66.28
7,"Feb 12, 2019",65.49
8,"Feb 11, 2019",64.74
9,"Feb 08, 2019",63.40
10,"Feb 07, 2019",63.06
11,"Feb 06, 2019",63.66
12,"Feb 05, 2019",63.61
13,"Feb 04, 2019",64.23
14,"Feb 01, 2019",63.50
15,"Jan 31, 2019",64.43
16,"Jan 30, 2019",65.19
17,"Jan 29, 2019",60.72
18,"Jan 28, 2019",60.78
19,"Jan 25, 2019",60.99
20,"Jan 24, 2019",60.34
21,"Jan 23, 2019",59.40
22,"Jan 22, 2019",59.76
23,"Jan 18, 2019",60.87
24,"Jan 17, 2019",60.18
25,"Jan 16, 2019",58.79
26,"Jan 15, 2019",58.61
27,"Jan 14, 2019",58.30
28,"Jan 11, 2019",58.38
29,"Jan 10, 2019",58.19
