,Date,Close
0,"Feb 22, 2019",182.83
1,"Feb 21, 2019",182.90
2,"Feb 20, 2019",182.31
3,"Feb 19, 2019",181.81
4,"Feb 15, 2019",180.98
5,"Feb 14, 2019",180.02
6,"Feb 13, 2019",179.98
7,"Feb 12, 2019",179.34
8,"Feb 11, 2019",179.18
9,"Feb 08, 2019",179.37
10,"Feb 07, 2019",179.12
11,"Feb 06, 2019",178.81
12,"Feb 05, 2019",178.69
13,"Feb 04, 2019",178.58
14,"Feb 01, 2019",178.38
15,"Jan 31, 2019",177.84
16,"Jan 30, 2019",176.45
17,"Jan 29, 2019",176.20
18,"Jan 28, 2019",176.10
19,"Jan 25, 2019",176.50
20,"Jan 24, 2019",176.35
21,"Jan 23, 2019",176.24
22,"Jan 22, 2019",175.47
23,"Jan 18, 2019",175.51
24,"Jan 17, 2019",175.74
25,"Jan 16, 2019",175.33
26,"Jan 15, 2019",175.61
27,"Jan 14, 2019",174.85
28,"Jan 11, 2019",176.06
29,"Jan 10, 2019",174.50
