,Date,Close
0,"Feb 22, 2019",101.24
1,"Feb 21, 2019",100.10
2,"Feb 20, 2019",99.77
3,"Feb 19, 2019",99.75
4,"Feb 15, 2019",100.45
5,"Feb 14, 2019",99.44
6,"Feb 13, 2019",98.93
7,"Feb 12, 2019",98.21
8,"Feb 11, 2019",97.21
9,"Feb 08, 2019",96.81
10,"Feb 07, 2019",95.72
11,"Feb 06, 2019",95.59
12,"Feb 05, 2019",95.16
13,"Feb 04, 2019",94.33
14,"Feb 01, 2019",93.62
15,"Jan 31, 2019",95.17
16,"Jan 30, 2019",93.74
17,"Jan 29, 2019",92.04
18,"Jan 28, 2019",91.56
19,"Jan 25, 2019",94.56
20,"Jan 24, 2019",117.30
21,"Jan 23, 2019",117.22
22,"Jan 22, 2019",117.47
23,"Jan 18, 2019",117.84
24,"Jan 17, 2019",117.41
25,"Jan 16, 2019",116.89
26,"Jan 15, 2019",115.67
27,"Jan 14, 2019",113.58
28,"Jan 11, 2019",114.81
29,"Jan 10, 2019",115.39
