,Date,Close
0,"Feb 22, 2019",39.43
1,"Feb 21, 2019",39.62
2,"Feb 20, 2019",39.35
3,"Feb 19, 2019",39.71
4,"Feb 15, 2019",40.11
5,"Feb 14, 2019",39.68
6,"Feb 13, 2019",39.37
7,"Feb 12, 2019",38.98
8,"Feb 11, 2019",38.28
9,"Feb 08, 2019",37.86
10,"Feb 07, 2019",37.61
11,"Feb 06, 2019",37.40
12,"Feb 05, 2019",37.65
13,"Feb 04, 2019",36.91
14,"Feb 01, 2019",37.42
15,"Jan 31, 2019",37.24
16,"Jan 30, 2019",37.04
17,"Jan 29, 2019",36.93
18,"Jan 28, 2019",37.36
19,"Jan 25, 2019",38.13
20,"Jan 24, 2019",37.78
21,"Jan 23, 2019",37.20
22,"Jan 22, 2019",38.40
23,"Jan 18, 2019",38.68
24,"Jan 17, 2019",37.90
25,"Jan 16, 2019",38.15
26,"Jan 15, 2019",38.59
27,"Jan 14, 2019",38.37
28,"Jan 11, 2019",38.30
29,"Jan 10, 2019",38.66
