,Date,Close
0,"Feb 22, 2019",94.37
1,"Feb 21, 2019",93.53
2,"Feb 20, 2019",93.97
3,"Feb 19, 2019",93.67
4,"Feb 15, 2019",94.01
5,"Feb 14, 2019",93.29
6,"Feb 13, 2019",94.64
7,"Feb 12, 2019",94.76
8,"Feb 11, 2019",94.13
9,"Feb 08, 2019",92.95
10,"Feb 07, 2019",92.59
11,"Feb 06, 2019",92.66
12,"Feb 05, 2019",93.19
13,"Feb 04, 2019",92.34
14,"Feb 01, 2019",91.73
15,"Jan 31, 2019",92.12
16,"Jan 30, 2019",92.29
17,"Jan 29, 2019",91.47
18,"Jan 28, 2019",91.54
19,"Jan 25, 2019",92.51
20,"Jan 24, 2019",91.20
21,"Jan 23, 2019",91.51
22,"Jan 22, 2019",91.63
23,"Jan 18, 2019",93.01
24,"Jan 17, 2019",90.80
25,"Jan 16, 2019",90.25
26,"Jan 15, 2019",90.85
27,"Jan 14, 2019",90.63
28,"Jan 11, 2019",91.21
29,"Jan 10, 2019",90.73
