,Date,Close
0,"Feb 22, 2019",77.63
1,"Feb 21, 2019",77.64
2,"Feb 20, 2019",77.23
3,"Feb 19, 2019",77.27
4,"Feb 15, 2019",77.63
5,"Feb 14, 2019",76.55
6,"Feb 13, 2019",77.22
7,"Feb 12, 2019",77.57
8,"Feb 11, 2019",76.90
9,"Feb 08, 2019",76.68
10,"Feb 07, 2019",77.73
11,"Feb 06, 2019",77.37
12,"Feb 05, 2019",78.18
13,"Feb 04, 2019",77.73
14,"Feb 01, 2019",76.95
15,"Jan 31, 2019",76.71
16,"Jan 30, 2019",76.56
17,"Jan 29, 2019",76.04
18,"Jan 28, 2019",75.73
19,"Jan 25, 2019",76.24
20,"Jan 24, 2019",75.84
21,"Jan 23, 2019",76.27
22,"Jan 22, 2019",76.18
23,"Jan 18, 2019",76.26
24,"Jan 17, 2019",75.08
25,"Jan 16, 2019",74.42
26,"Jan 15, 2019",74.88
27,"Jan 14, 2019",73.85
28,"Jan 11, 2019",74.65
29,"Jan 10, 2019",74.55
