,Date,Close
0,"Feb 22, 2019",186.61
1,"Feb 21, 2019",185.38
2,"Feb 20, 2019",187.29
3,"Feb 19, 2019",184.62
4,"Feb 15, 2019",184.61
5,"Feb 14, 2019",181.13
6,"Feb 13, 2019",180.94
7,"Feb 12, 2019",181.12
8,"Feb 11, 2019",177.83
9,"Feb 08, 2019",175.92
10,"Feb 07, 2019",176.08
11,"Feb 06, 2019",175.07
12,"Feb 05, 2019",175.98
13,"Feb 04, 2019",174.65
14,"Feb 01, 2019",165.96
15,"Jan 31, 2019",164.76
16,"Jan 30, 2019",171.46
17,"Jan 29, 2019",171.23
18,"Jan 28, 2019",168.65
19,"Jan 25, 2019",167.61
20,"Jan 24, 2019",166.32
21,"Jan 23, 2019",165.20
22,"Jan 22, 2019",163.71
23,"Jan 18, 2019",165.41
24,"Jan 17, 2019",162.84
25,"Jan 16, 2019",159.38
26,"Jan 15, 2019",160.14
27,"Jan 14, 2019",160.51
28,"Jan 11, 2019",159.17
29,"Jan 10, 2019",159.58
