,Date,Close
0,"Feb 22, 2019",182.55
1,"Feb 21, 2019",182.66
2,"Feb 20, 2019",182.99
3,"Feb 19, 2019",183.55
4,"Feb 15, 2019",185.50
5,"Feb 14, 2019",184.19
6,"Feb 13, 2019",184.34
7,"Feb 12, 2019",183.21
8,"Feb 11, 2019",183.97
9,"Feb 08, 2019",183.22
10,"Feb 07, 2019",183.65
11,"Feb 06, 2019",181.42
12,"Feb 05, 2019",184.59
13,"Feb 04, 2019",182.46
14,"Feb 01, 2019",181.14
15,"Jan 31, 2019",182.53
16,"Jan 30, 2019",178.81
17,"Jan 29, 2019",178.76
18,"Jan 28, 2019",177.62
19,"Jan 25, 2019",177.27
20,"Jan 24, 2019",176.53
21,"Jan 23, 2019",175.50
22,"Jan 22, 2019",173.16
23,"Jan 18, 2019",173.05
24,"Jan 17, 2019",173.46
25,"Jan 16, 2019",172.57
26,"Jan 15, 2019",170.50
27,"Jan 14, 2019",169.16
28,"Jan 11, 2019",169.79
29,"Jan 10, 2019",168.05
