,Date,Close
0,"Jan 18, 2019",47.98
1,"Jan 17, 2019",46.92
2,"Jan 16, 2019",46.70
3,"Jan 15, 2019",44.25
4,"Jan 14, 2019",43.80
5,"Jan 11, 2019",43.82
6,"Jan 10, 2019",43.71
7,"Jan 09, 2019",43.83
8,"Jan 08, 2019",43.28
9,"Jan 07, 2019",42.74
10,"Jan 04, 2019",42.44
11,"Jan 03, 2019",40.72
12,"Jan 02, 2019",41.58
13,"Dec 31, 2018",41.53
14,"Dec 28, 2018",41.06
15,"Dec 27, 2018",41.06
16,"Dec 26, 2018",40.56
17,"Dec 24, 2018",38.25
18,"Dec 21, 2018",39.14
19,"Dec 20, 2018",39.62
20,"Dec 19, 2018",39.72
21,"Dec 18, 2018",40.45
22,"Dec 17, 2018",40.70
23,"Dec 14, 2018",41.19
24,"Dec 13, 2018",41.43
25,"Dec 12, 2018",41.88
26,"Dec 11, 2018",41.25
27,"Dec 10, 2018",41.10
28,"Dec 07, 2018",41.47
29,"Dec 06, 2018",42.60
