,Date,Close
0,"Feb 22, 2019",43.45
1,"Feb 21, 2019",43.09
2,"Feb 20, 2019",42.82
3,"Feb 19, 2019",42.19
4,"Feb 15, 2019",42.15
5,"Feb 14, 2019",42.10
6,"Feb 13, 2019",42.21
7,"Feb 12, 2019",42.33
8,"Feb 11, 2019",42.18
9,"Feb 08, 2019",42.89
10,"Feb 07, 2019",44.27
11,"Feb 06, 2019",40.57
12,"Feb 05, 2019",40.76
13,"Feb 04, 2019",40.31
14,"Feb 01, 2019",40.07
15,"Jan 31, 2019",39.50
16,"Jan 30, 2019",39.09
17,"Jan 29, 2019",38.54
18,"Jan 28, 2019",38.31
19,"Jan 25, 2019",37.95
20,"Jan 24, 2019",37.53
21,"Jan 23, 2019",37.17
22,"Jan 22, 2019",38.09
23,"Jan 18, 2019",37.74
24,"Jan 17, 2019",37.16
25,"Jan 16, 2019",36.77
26,"Jan 15, 2019",36.67
27,"Jan 14, 2019",36.48
28,"Jan 11, 2019",36.57
29,"Jan 10, 2019",36.09
