,Date,Close
0,"Feb 22, 2019",439.88
1,"Feb 21, 2019",439.70
2,"Feb 20, 2019",439.27
3,"Feb 19, 2019",437.55
4,"Feb 15, 2019",439.18
5,"Feb 14, 2019",431.78
6,"Feb 13, 2019",433.99
7,"Feb 12, 2019",437.24
8,"Feb 11, 2019",423.71
9,"Feb 08, 2019",421.01
10,"Feb 07, 2019",418.11
11,"Feb 06, 2019",421.05
12,"Feb 05, 2019",421.83
13,"Feb 04, 2019",418.96
14,"Feb 01, 2019",417.02
15,"Jan 31, 2019",421.52
16,"Jan 30, 2019",405.23
17,"Jan 29, 2019",403.00
18,"Jan 28, 2019",397.00
19,"Jan 25, 2019",392.83
20,"Jan 24, 2019",390.26
21,"Jan 23, 2019",393.39
22,"Jan 22, 2019",393.97
23,"Jan 18, 2019",398.53
24,"Jan 17, 2019",394.53
25,"Jan 16, 2019",386.94
26,"Jan 15, 2019",381.44
27,"Jan 14, 2019",397.80
28,"Jan 11, 2019",395.93
29,"Jan 10, 2019",399.55
