,Date,Close
0,"Feb 22, 2019",50.37
1,"Feb 21, 2019",50.22
2,"Feb 20, 2019",49.74
3,"Feb 19, 2019",48.92
4,"Feb 15, 2019",48.56
5,"Feb 14, 2019",49.20
6,"Feb 13, 2019",49.22
7,"Feb 12, 2019",49.37
8,"Feb 11, 2019",49.24
9,"Feb 08, 2019",49.12
10,"Feb 07, 2019",49.16
11,"Feb 06, 2019",48.54
12,"Feb 05, 2019",48.73
13,"Feb 04, 2019",48.61
14,"Feb 01, 2019",48.49
15,"Jan 31, 2019",48.60
16,"Jan 30, 2019",47.87
17,"Jan 29, 2019",47.58
18,"Jan 28, 2019",47.43
19,"Jan 25, 2019",47.50
20,"Jan 24, 2019",47.96
21,"Jan 23, 2019",47.58
22,"Jan 22, 2019",47.07
23,"Jan 18, 2019",47.22
24,"Jan 17, 2019",47.07
25,"Jan 16, 2019",46.87
26,"Jan 15, 2019",46.79
27,"Jan 14, 2019",46.16
28,"Jan 11, 2019",46.61
29,"Jan 10, 2019",46.34
