,Date,Close
0,"Feb 22, 2019",66.27
1,"Feb 21, 2019",66.66
2,"Feb 20, 2019",66.55
3,"Feb 19, 2019",65.65
4,"Feb 15, 2019",65.12
5,"Feb 14, 2019",64.03
6,"Feb 13, 2019",64.65
7,"Feb 12, 2019",65.56
8,"Feb 11, 2019",64.77
9,"Feb 08, 2019",64.37
10,"Feb 07, 2019",64.72
11,"Feb 06, 2019",58.74
12,"Feb 05, 2019",59.14
13,"Feb 04, 2019",59.44
14,"Feb 01, 2019",59.47
15,"Jan 31, 2019",59.42
16,"Jan 30, 2019",60.62
17,"Jan 29, 2019",61.40
18,"Jan 28, 2019",61.74
19,"Jan 25, 2019",61.90
20,"Jan 24, 2019",61.22
21,"Jan 23, 2019",60.56
22,"Jan 22, 2019",60.36
23,"Jan 18, 2019",60.72
24,"Jan 17, 2019",58.04
25,"Jan 16, 2019",57.36
26,"Jan 15, 2019",55.99
27,"Jan 14, 2019",56.14
28,"Jan 11, 2019",55.77
29,"Jan 10, 2019",55.37
