,Date,Close
0,"Feb 22, 2019",72.40
1,"Feb 21, 2019",72.18
2,"Feb 20, 2019",72.24
3,"Feb 19, 2019",71.37
4,"Feb 15, 2019",70.66
5,"Feb 14, 2019",68.66
6,"Feb 13, 2019",69.49
7,"Feb 12, 2019",69.51
8,"Feb 11, 2019",68.79
9,"Feb 08, 2019",68.96
10,"Feb 07, 2019",69.76
11,"Feb 06, 2019",70.24
12,"Feb 05, 2019",70.91
13,"Feb 04, 2019",71.10
14,"Feb 01, 2019",71.17
15,"Jan 31, 2019",70.90
16,"Jan 30, 2019",71.02
17,"Jan 29, 2019",70.63
18,"Jan 28, 2019",71.53
19,"Jan 25, 2019",72.64
20,"Jan 24, 2019",71.32
21,"Jan 23, 2019",70.82
22,"Jan 22, 2019",70.59
23,"Jan 18, 2019",71.30
24,"Jan 17, 2019",71.05
25,"Jan 16, 2019",70.47
26,"Jan 15, 2019",68.66
27,"Jan 14, 2019",68.46
28,"Jan 11, 2019",67.01
29,"Jan 10, 2019",66.51
