,Date,Close
0,"Feb 22, 2019",82.42
1,"Feb 21, 2019",81.76
2,"Feb 20, 2019",82.33
3,"Feb 19, 2019",82.62
4,"Feb 15, 2019",83.38
5,"Feb 14, 2019",83.64
6,"Feb 13, 2019",82.98
7,"Feb 12, 2019",83.58
8,"Feb 11, 2019",81.84
9,"Feb 08, 2019",81.71
10,"Feb 07, 2019",81.56
11,"Feb 06, 2019",84.69
12,"Feb 05, 2019",75.96
13,"Feb 04, 2019",74.87
14,"Feb 01, 2019",73.96
15,"Jan 31, 2019",73.04
16,"Jan 30, 2019",73.92
17,"Jan 29, 2019",71.54
18,"Jan 28, 2019",72.69
19,"Jan 25, 2019",72.47
20,"Jan 24, 2019",70.03
21,"Jan 23, 2019",68.27
22,"Jan 22, 2019",68.90
23,"Jan 18, 2019",70.07
24,"Jan 17, 2019",69.03
25,"Jan 16, 2019",68.80
26,"Jan 15, 2019",68.45
27,"Jan 14, 2019",68.35
28,"Jan 11, 2019",70.02
29,"Jan 10, 2019",68.59
