,Date,Close
0,"Feb 22, 2019",31.88
1,"Feb 21, 2019",31.78
2,"Feb 20, 2019",31.79
3,"Feb 19, 2019",31.76
4,"Feb 15, 2019",31.75
5,"Feb 14, 2019",30.83
6,"Feb 13, 2019",30.77
7,"Feb 12, 2019",30.44
8,"Feb 11, 2019",30.37
9,"Feb 08, 2019",29.94
10,"Feb 07, 2019",30.11
11,"Feb 06, 2019",30.11
12,"Feb 05, 2019",29.99
13,"Feb 04, 2019",29.72
14,"Feb 01, 2019",29.69
15,"Jan 31, 2019",30.04
16,"Jan 30, 2019",30.07
17,"Jan 29, 2019",29.65
18,"Jan 28, 2019",29.98
19,"Jan 25, 2019",29.79
20,"Jan 24, 2019",29.81
21,"Jan 23, 2019",29.40
22,"Jan 22, 2019",26.55
23,"Jan 18, 2019",26.28
24,"Jan 17, 2019",26.35
25,"Jan 16, 2019",26.38
26,"Jan 15, 2019",25.77
27,"Jan 14, 2019",25.85
28,"Jan 11, 2019",26.02
29,"Jan 10, 2019",25.75
