,Date,Close
0,"Feb 22, 2019",67.33
1,"Feb 21, 2019",67.24
2,"Feb 20, 2019",67.35
3,"Feb 19, 2019",67.01
4,"Feb 15, 2019",67.54
5,"Feb 14, 2019",66.56
6,"Feb 13, 2019",66.53
7,"Feb 12, 2019",66.94
8,"Feb 11, 2019",66.29
9,"Feb 08, 2019",66.20
10,"Feb 07, 2019",65.11
11,"Feb 06, 2019",65.33
12,"Feb 05, 2019",65.35
13,"Feb 04, 2019",66.64
14,"Feb 01, 2019",63.57
15,"Jan 31, 2019",63.85
16,"Jan 30, 2019",62.90
17,"Jan 29, 2019",62.05
18,"Jan 28, 2019",62.27
19,"Jan 25, 2019",62.02
20,"Jan 24, 2019",62.53
21,"Jan 23, 2019",62.89
22,"Jan 22, 2019",62.66
23,"Jan 18, 2019",62.68
24,"Jan 17, 2019",62.24
25,"Jan 16, 2019",62.25
26,"Jan 15, 2019",62.72
27,"Jan 14, 2019",62.95
28,"Jan 11, 2019",63.04
29,"Jan 10, 2019",63.26
