,Date,Close
0,"Jan 18, 2019",30.96
1,"Jan 17, 2019",30.64
2,"Jan 16, 2019",30.56
3,"Jan 15, 2019",30.60
4,"Jan 14, 2019",30.62
5,"Jan 11, 2019",30.87
6,"Jan 10, 2019",30.40
7,"Jan 09, 2019",30.10
8,"Jan 08, 2019",31.28
9,"Jan 07, 2019",30.89
10,"Jan 04, 2019",30.34
11,"Jan 03, 2019",29.58
12,"Jan 02, 2019",29.54
13,"Dec 31, 2018",28.54
14,"Dec 28, 2018",28.46
15,"Dec 27, 2018",28.15
16,"Dec 26, 2018",28.08
17,"Dec 24, 2018",27.36
18,"Dec 21, 2018",28.31
19,"Dec 20, 2018",28.65
20,"Dec 19, 2018",29.82
21,"Dec 18, 2018",29.75
22,"Dec 17, 2018",29.86
23,"Dec 14, 2018",30.22
24,"Dec 13, 2018",29.91
25,"Dec 12, 2018",30.16
26,"Dec 11, 2018",29.70
27,"Dec 10, 2018",29.91
28,"Dec 07, 2018",30.14
29,"Dec 06, 2018",30.53
