,Date,Close
0,"Feb 22, 2019",83.35
1,"Feb 21, 2019",82.46
2,"Feb 20, 2019",82.78
3,"Feb 19, 2019",82.17
4,"Feb 15, 2019",82.14
5,"Feb 14, 2019",80.86
6,"Feb 13, 2019",81.26
7,"Feb 12, 2019",81.44
8,"Feb 11, 2019",80.08
9,"Feb 08, 2019",80.41
10,"Feb 07, 2019",80.96
11,"Feb 06, 2019",82.99
12,"Feb 05, 2019",81.75
13,"Feb 04, 2019",80.97
14,"Feb 01, 2019",81.37
15,"Jan 31, 2019",80.95
16,"Jan 30, 2019",80.27
17,"Jan 29, 2019",78.75
18,"Jan 28, 2019",79.85
19,"Jan 25, 2019",80.15
20,"Jan 24, 2019",78.76
21,"Jan 23, 2019",76.00
22,"Jan 22, 2019",79.48
23,"Jan 18, 2019",81.25
24,"Jan 17, 2019",79.73
25,"Jan 16, 2019",78.49
26,"Jan 15, 2019",77.32
27,"Jan 14, 2019",77.66
28,"Jan 11, 2019",78.46
29,"Jan 10, 2019",78.12
