,Date,Close
0,"Feb 22, 2019",285.42
1,"Feb 21, 2019",275.23
2,"Feb 20, 2019",286.48
3,"Feb 19, 2019",282.00
4,"Feb 15, 2019",285.89
5,"Feb 14, 2019",281.52
6,"Feb 13, 2019",281.58
7,"Feb 12, 2019",277.90
8,"Feb 11, 2019",275.59
9,"Feb 08, 2019",274.14
10,"Feb 07, 2019",270.89
11,"Feb 06, 2019",272.55
12,"Feb 05, 2019",273.41
13,"Feb 04, 2019",272.19
14,"Feb 01, 2019",271.70
15,"Jan 31, 2019",273.50
16,"Jan 30, 2019",272.64
17,"Jan 29, 2019",267.87
18,"Jan 28, 2019",267.86
19,"Jan 25, 2019",268.83
20,"Jan 24, 2019",266.00
21,"Jan 23, 2019",260.58
22,"Jan 22, 2019",257.53
23,"Jan 18, 2019",257.92
24,"Jan 17, 2019",254.70
25,"Jan 16, 2019",248.64
26,"Jan 15, 2019",256.11
27,"Jan 14, 2019",249.94
28,"Jan 11, 2019",255.99
29,"Jan 10, 2019",262.62
