,Date,Close
0,"Feb 22, 2019",72.25
1,"Feb 21, 2019",72.03
2,"Feb 20, 2019",72.71
3,"Feb 19, 2019",73.30
4,"Feb 15, 2019",72.84
5,"Feb 14, 2019",72.18
6,"Feb 13, 2019",72.57
7,"Feb 12, 2019",70.41
8,"Feb 11, 2019",70.15
9,"Feb 08, 2019",70.88
10,"Feb 07, 2019",71.86
11,"Feb 06, 2019",72.51
12,"Feb 05, 2019",72.77
13,"Feb 04, 2019",72.44
14,"Feb 01, 2019",71.17
15,"Jan 31, 2019",73.00
16,"Jan 30, 2019",72.33
17,"Jan 29, 2019",71.70
18,"Jan 28, 2019",72.12
19,"Jan 25, 2019",72.39
20,"Jan 24, 2019",70.61
21,"Jan 23, 2019",70.32
22,"Jan 22, 2019",70.28
23,"Jan 18, 2019",70.68
24,"Jan 17, 2019",69.37
25,"Jan 16, 2019",67.85
26,"Jan 15, 2019",68.21
27,"Jan 14, 2019",68.84
28,"Jan 11, 2019",69.61
29,"Jan 10, 2019",68.29
