,Date,Close
0,"Feb 22, 2019",92.70
1,"Feb 21, 2019",91.49
2,"Feb 20, 2019",91.62
3,"Feb 19, 2019",90.38
4,"Feb 15, 2019",90.83
5,"Feb 14, 2019",90.33
6,"Feb 13, 2019",90.93
7,"Feb 12, 2019",89.73
8,"Feb 11, 2019",87.85
9,"Feb 08, 2019",88.08
10,"Feb 07, 2019",88.57
11,"Feb 06, 2019",89.66
12,"Feb 05, 2019",89.63
13,"Feb 04, 2019",88.38
14,"Feb 01, 2019",88.20
15,"Jan 31, 2019",88.73
16,"Jan 30, 2019",87.98
17,"Jan 29, 2019",87.60
18,"Jan 28, 2019",88.19
19,"Jan 25, 2019",88.88
20,"Jan 24, 2019",87.52
21,"Jan 23, 2019",87.34
22,"Jan 22, 2019",87.60
23,"Jan 18, 2019",89.82
24,"Jan 17, 2019",85.26
25,"Jan 16, 2019",84.01
26,"Jan 15, 2019",84.57
27,"Jan 14, 2019",85.36
28,"Jan 11, 2019",85.82
29,"Jan 10, 2019",84.96
