,Date,Close
0,"Feb 22, 2019",50.35
1,"Feb 21, 2019",50.13
2,"Feb 20, 2019",50.51
3,"Feb 19, 2019",50.48
4,"Feb 15, 2019",50.23
5,"Feb 14, 2019",49.50
6,"Feb 13, 2019",49.89
7,"Feb 12, 2019",49.75
8,"Feb 11, 2019",49.10
9,"Feb 08, 2019",48.94
10,"Feb 07, 2019",48.52
11,"Feb 06, 2019",48.76
12,"Feb 05, 2019",49.22
13,"Feb 04, 2019",48.99
14,"Feb 01, 2019",48.90
15,"Jan 31, 2019",49.73
16,"Jan 30, 2019",48.90
17,"Jan 29, 2019",48.74
18,"Jan 28, 2019",48.96
19,"Jan 25, 2019",48.87
20,"Jan 24, 2019",48.68
21,"Jan 23, 2019",48.64
22,"Jan 22, 2019",48.74
23,"Jan 18, 2019",49.16
24,"Jan 17, 2019",48.00
25,"Jan 16, 2019",47.53
26,"Jan 15, 2019",47.32
27,"Jan 14, 2019",46.78
28,"Jan 11, 2019",47.46
29,"Jan 10, 2019",47.09
