,Date,Close
0,"Feb 22, 2019",96.04
1,"Feb 21, 2019",97.01
2,"Feb 20, 2019",97.55
3,"Feb 19, 2019",97.07
4,"Feb 15, 2019",97.58
5,"Feb 14, 2019",95.78
6,"Feb 13, 2019",95.83
7,"Feb 12, 2019",95.56
8,"Feb 11, 2019",94.19
9,"Feb 08, 2019",92.32
10,"Feb 07, 2019",90.75
11,"Feb 06, 2019",91.03
12,"Feb 05, 2019",89.59
13,"Feb 04, 2019",88.86
14,"Feb 01, 2019",86.97
15,"Jan 31, 2019",85.40
16,"Jan 30, 2019",89.62
17,"Jan 29, 2019",89.90
18,"Jan 28, 2019",89.11
19,"Jan 25, 2019",89.60
20,"Jan 24, 2019",87.59
21,"Jan 23, 2019",89.02
22,"Jan 22, 2019",89.36
23,"Jan 18, 2019",89.48
24,"Jan 17, 2019",88.50
25,"Jan 16, 2019",87.13
26,"Jan 15, 2019",86.95
27,"Jan 14, 2019",85.91
28,"Jan 11, 2019",85.31
29,"Jan 10, 2019",84.67
