,Date,Close
0,"Feb 22, 2019",93.79
1,"Feb 21, 2019",93.24
2,"Feb 20, 2019",93.67
3,"Feb 19, 2019",92.78
4,"Feb 15, 2019",92.78
5,"Feb 14, 2019",92.10
6,"Feb 13, 2019",91.93
7,"Feb 12, 2019",91.73
8,"Feb 11, 2019",91.34
9,"Feb 08, 2019",91.82
10,"Feb 07, 2019",90.84
11,"Feb 06, 2019",91.61
12,"Feb 05, 2019",92.42
13,"Feb 04, 2019",91.76
14,"Feb 01, 2019",90.89
15,"Jan 31, 2019",89.61
16,"Jan 30, 2019",90.28
17,"Jan 29, 2019",86.98
18,"Jan 28, 2019",87.83
19,"Jan 25, 2019",88.31
20,"Jan 24, 2019",87.75
21,"Jan 23, 2019",87.41
22,"Jan 22, 2019",86.93
23,"Jan 18, 2019",87.94
24,"Jan 17, 2019",86.21
25,"Jan 16, 2019",86.40
26,"Jan 15, 2019",84.67
27,"Jan 14, 2019",84.16
28,"Jan 11, 2019",83.49
29,"Jan 10, 2019",84.78
