,Date,Close
0,"Feb 22, 2019",87.07
1,"Feb 21, 2019",87.59
2,"Feb 20, 2019",88.67
3,"Feb 19, 2019",93.27
4,"Feb 15, 2019",93.30
5,"Feb 14, 2019",93.28
6,"Feb 13, 2019",92.14
7,"Feb 12, 2019",89.25
8,"Feb 11, 2019",93.44
9,"Feb 08, 2019",97.14
10,"Feb 07, 2019",96.39
11,"Feb 06, 2019",92.53
12,"Feb 05, 2019",107.29
13,"Feb 04, 2019",106.30
14,"Feb 01, 2019",104.95
15,"Jan 31, 2019",105.55
16,"Jan 30, 2019",102.60
17,"Jan 29, 2019",100.81
18,"Jan 28, 2019",102.39
19,"Jan 25, 2019",103.70
20,"Jan 24, 2019",101.49
21,"Jan 23, 2019",99.81
22,"Jan 22, 2019",107.33
23,"Jan 18, 2019",108.26
24,"Jan 17, 2019",105.37
25,"Jan 16, 2019",105.93
26,"Jan 15, 2019",106.49
27,"Jan 14, 2019",104.98
28,"Jan 11, 2019",109.03
29,"Jan 10, 2019",110.00
