,Date,Close
0,"Feb 22, 2019",55.06
1,"Feb 21, 2019",54.69
2,"Feb 20, 2019",54.99
3,"Feb 19, 2019",54.60
4,"Feb 15, 2019",54.82
5,"Feb 14, 2019",54.00
6,"Feb 13, 2019",54.55
7,"Feb 12, 2019",53.79
8,"Feb 11, 2019",52.75
9,"Feb 08, 2019",52.58
10,"Feb 07, 2019",53.07
11,"Feb 06, 2019",54.11
12,"Feb 05, 2019",54.38
13,"Feb 04, 2019",53.66
14,"Feb 01, 2019",53.51
15,"Jan 31, 2019",53.23
16,"Jan 30, 2019",53.48
17,"Jan 29, 2019",52.75
18,"Jan 28, 2019",52.80
19,"Jan 25, 2019",52.60
20,"Jan 24, 2019",51.92
21,"Jan 23, 2019",49.17
22,"Jan 22, 2019",48.45
23,"Jan 18, 2019",49.40
24,"Jan 17, 2019",48.62
25,"Jan 16, 2019",48.03
26,"Jan 15, 2019",48.15
27,"Jan 14, 2019",48.02
28,"Jan 11, 2019",48.01
29,"Jan 10, 2019",47.92
