,Date,Close
0,"Feb 22, 2019",21.68
1,"Feb 21, 2019",21.42
2,"Feb 20, 2019",21.28
3,"Feb 19, 2019",21.36
4,"Feb 15, 2019",21.16
5,"Feb 14, 2019",21.83
6,"Feb 13, 2019",21.78
7,"Feb 12, 2019",22.21
8,"Feb 11, 2019",20.78
9,"Feb 08, 2019",20.75
10,"Feb 07, 2019",20.37
11,"Feb 06, 2019",20.72
12,"Feb 05, 2019",20.90
13,"Feb 04, 2019",20.70
14,"Feb 01, 2019",20.63
15,"Jan 31, 2019",20.74
16,"Jan 30, 2019",20.92
17,"Jan 29, 2019",20.89
18,"Jan 28, 2019",21.34
19,"Jan 25, 2019",21.44
20,"Jan 24, 2019",20.74
21,"Jan 23, 2019",20.28
22,"Jan 22, 2019",20.48
23,"Jan 18, 2019",20.49
24,"Jan 17, 2019",20.03
25,"Jan 16, 2019",19.61
26,"Jan 15, 2019",19.74
27,"Jan 14, 2019",19.71
28,"Jan 11, 2019",19.67
29,"Jan 10, 2019",19.20
