,Date,Close
0,"Feb 22, 2019",44.88
1,"Feb 21, 2019",44.74
2,"Feb 20, 2019",44.33
3,"Feb 19, 2019",44.72
4,"Feb 15, 2019",44.59
5,"Feb 14, 2019",44.64
6,"Feb 13, 2019",44.65
7,"Feb 12, 2019",44.23
8,"Feb 11, 2019",44.53
9,"Feb 08, 2019",44.59
10,"Feb 07, 2019",44.47
11,"Feb 06, 2019",44.02
12,"Feb 05, 2019",44.09
13,"Feb 04, 2019",43.91
14,"Feb 01, 2019",43.39
15,"Jan 31, 2019",43.75
16,"Jan 30, 2019",43.63
17,"Jan 29, 2019",43.26
18,"Jan 28, 2019",42.97
19,"Jan 25, 2019",42.42
20,"Jan 24, 2019",41.90
21,"Jan 23, 2019",41.96
22,"Jan 22, 2019",41.87
23,"Jan 18, 2019",41.68
24,"Jan 17, 2019",41.53
25,"Jan 16, 2019",41.28
26,"Jan 15, 2019",40.83
27,"Jan 14, 2019",40.12
28,"Jan 11, 2019",40.15
29,"Jan 10, 2019",40.01
