,Date,Close
0,"Feb 22, 2019",310.72
1,"Feb 21, 2019",308.02
2,"Feb 20, 2019",306.31
3,"Feb 19, 2019",304.65
4,"Feb 15, 2019",306.36
5,"Feb 14, 2019",305.00
6,"Feb 13, 2019",303.95
7,"Feb 12, 2019",302.50
8,"Feb 11, 2019",298.10
9,"Feb 08, 2019",296.06
10,"Feb 07, 2019",293.64
11,"Feb 06, 2019",293.45
12,"Feb 05, 2019",294.04
13,"Feb 04, 2019",289.04
14,"Feb 01, 2019",291.36
15,"Jan 31, 2019",291.92
16,"Jan 30, 2019",288.60
17,"Jan 29, 2019",288.82
18,"Jan 28, 2019",290.28
19,"Jan 25, 2019",290.72
20,"Jan 24, 2019",287.99
21,"Jan 23, 2019",288.20
22,"Jan 22, 2019",288.85
23,"Jan 18, 2019",291.50
24,"Jan 17, 2019",283.90
25,"Jan 16, 2019",282.01
26,"Jan 15, 2019",278.49
27,"Jan 14, 2019",274.90
28,"Jan 11, 2019",284.11
29,"Jan 10, 2019",277.03
