,Date,Close
0,"Feb 22, 2019",51.28
1,"Feb 21, 2019",51.05
2,"Feb 20, 2019",51.60
3,"Feb 19, 2019",51.31
4,"Feb 15, 2019",51.31
5,"Feb 14, 2019",50.46
6,"Feb 13, 2019",50.91
7,"Feb 12, 2019",51.21
8,"Feb 11, 2019",50.55
9,"Feb 08, 2019",50.58
10,"Feb 07, 2019",50.95
11,"Feb 06, 2019",51.44
12,"Feb 05, 2019",51.48
13,"Feb 04, 2019",51.57
14,"Feb 01, 2019",51.29
15,"Jan 31, 2019",51.16
16,"Jan 30, 2019",51.04
17,"Jan 29, 2019",51.05
18,"Jan 28, 2019",51.27
19,"Jan 25, 2019",51.37
20,"Jan 24, 2019",50.89
21,"Jan 23, 2019",50.53
22,"Jan 22, 2019",50.14
23,"Jan 18, 2019",50.22
24,"Jan 17, 2019",49.75
25,"Jan 16, 2019",49.11
26,"Jan 15, 2019",47.97
27,"Jan 14, 2019",47.79
28,"Jan 11, 2019",47.44
29,"Jan 10, 2019",47.31
