,Date,Close
0,"Feb 22, 2019",86.50
1,"Feb 21, 2019",85.80
2,"Feb 20, 2019",86.37
3,"Feb 19, 2019",86.73
4,"Feb 15, 2019",86.90
5,"Feb 14, 2019",85.97
6,"Feb 13, 2019",86.48
7,"Feb 12, 2019",86.64
8,"Feb 11, 2019",85.49
9,"Feb 08, 2019",85.78
10,"Feb 07, 2019",86.04
11,"Feb 06, 2019",86.47
12,"Feb 05, 2019",85.74
13,"Feb 04, 2019",85.06
14,"Feb 01, 2019",84.23
15,"Jan 31, 2019",84.17
16,"Jan 30, 2019",84.61
17,"Jan 29, 2019",84.08
18,"Jan 28, 2019",83.70
19,"Jan 25, 2019",83.50
20,"Jan 24, 2019",83.34
21,"Jan 23, 2019",82.89
22,"Jan 22, 2019",81.77
23,"Jan 18, 2019",82.34
24,"Jan 17, 2019",73.26
25,"Jan 16, 2019",71.92
26,"Jan 15, 2019",72.06
27,"Jan 14, 2019",71.63
28,"Jan 11, 2019",71.46
29,"Jan 10, 2019",73.64
